"","Major","Discipline","Total","Unemployment_rate","Median_salary"
"24","COMPUTER NETWORKING AND TELECOMMUNICATIONS","Computers & Mathematics",51771,0.05869412,55000
"25","COSMETOLOGY SERVICES AND CULINARY ARTS","Industrial Arts & Consumer Services",42325,0.0549407,40000
"26","GENERAL EDUCATION","Education",1438867,0.043903517,43000
"27","EDUCATIONAL ADMINISTRATION AND SUPERVISION","Education",4037,0,58000
"28","SCHOOL STUDENT COUNSELING","Education",2396,0.101745936,41000
"29","ELEMENTARY EDUCATION","Education",1446701,0.038359164,40000
"30","MATHEMATICS TEACHER EDUCATION","Education",68808,0.032983017,43000
"31","PHYSICAL AND HEALTH EDUCATION TEACHING","Education",281661,0.046266958,48400
"32","EARLY CHILDHOOD EDUCATION","Education",157079,0.049350649,35300
"33","SCIENCE AND COMPUTER TEACHER EDUCATION","Education",56477,0.042199894,46000
"34","SECONDARY TEACHER EDUCATION","Education",224262,0.043755677,45000
"35","SPECIAL NEEDS EDUCATION","Education",149689,0.047144655,42000
"36","SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","Education",127022,0.046013199,45000
"37","TEACHER EDUCATION: MULTIPLE LEVELS","Education",88067,0.033356863,40000
"38","LANGUAGE AND DRAMA EDUCATION","Education",181445,0.048080293,42000
"39","ART AND MUSIC EDUCATION","Education",231861,0.040973373,42600
"40","MISCELLANEOUS EDUCATION","Education",225553,0.039215238,50000
"41","GENERAL ENGINEERING","Engineering",503080,0.047688237,75000
"42","AEROSPACE ENGINEERING","Engineering",65734,0.041971309,80000
"43","BIOLOGICAL ENGINEERING","Engineering",32748,0.058974061,62000
"44","ARCHITECTURAL ENGINEERING","Engineering",19587,0.06904277,78000
"45","BIOMEDICAL ENGINEERING","Engineering",18347,0.079035834,65000
"46","CHEMICAL ENGINEERING","Engineering",188046,0.046261361,86000
"47","CIVIL ENGINEERING","Engineering",358593,0.053386589,78000
"48","COMPUTER ENGINEERING","Engineering",154160,0.054743829,80000
"49","ELECTRICAL ENGINEERING","Engineering",671647,0.050508789,88000
"50","ENGINEERING MECHANICS PHYSICS AND SCIENCE","Engineering",20582,0.043804515,65000
"51","ENVIRONMENTAL ENGINEERING","Engineering",13016,0.045732003,70000
"52","GEOLOGICAL AND GEOPHYSICAL ENGINEERING","Engineering",6264,0,85000
"53","INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",138366,0.051493383,75000
"54","MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",21430,0.059731114,78000
"55","MECHANICAL ENGINEERING","Engineering",581529,0.043843856,80000
"56","METALLURGICAL ENGINEERING","Engineering",12818,0.044872677,96000
"57","MINING AND MINERAL ENGINEERING","Engineering",10746,0.047031611,92000
"58","NAVAL ARCHITECTURE AND MARINE ENGINEERING","Engineering",16094,0.040308825,97000
"59","NUCLEAR ENGINEERING","Engineering",9826,0.067159424,95000
"60","PETROLEUM ENGINEERING","Engineering",19631,0.042205349,125000
"61","MISCELLANEOUS ENGINEERING","Engineering",57006,0.058821008,70000
"62","ENGINEERING TECHNOLOGIES","Engineering",37382,0.046711214,63000
"63","ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",47098,0.054658256,74000
"64","ELECTRICAL ENGINEERING TECHNOLOGY","Engineering",94697,0.058384094,67000
"65","INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",82142,0.049846002,70000
"66","MECHANICAL ENGINEERING RELATED TECHNOLOGIES","Engineering",29348,0.043533273,60000
"67","MISCELLANEOUS ENGINEERING TECHNOLOGIES","Engineering",64196,0.060196821,63000
"68","LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Humanities & Liberal Arts",75791,0.081348089,48000
"69","FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Humanities & Liberal Arts",236342,0.058792542,48000
"70","OTHER FOREIGN LANGUAGES","Humanities & Liberal Arts",57793,0.072373874,45000
"71","FAMILY AND CONSUMER SCIENCES","Industrial Arts & Consumer Services",402038,0.055784849,40500
"72","COURT REPORTING","Law & Public Policy",9330,0.066512583,50000
"73","PRE-LAW AND LEGAL STUDIES","Law & Public Policy",67037,0.069847804,48000
"74","ENGLISH LANGUAGE AND LITERATURE","Humanities & Liberal Arts",1098647,0.068645304,50000
"75","COMPOSITION AND RHETORIC","Humanities & Liberal Arts",59211,0.07361495,40000
"76","LIBERAL ARTS","Humanities & Liberal Arts",601221,0.067578521,50000
"77","HUMANITIES","Humanities & Liberal Arts",46188,0.077843759,46700
"78","LIBRARY SCIENCE","Education",16193,0.094842992,40000
"79","BIOLOGY","Biology & Life Science",839454,0.05930117,51000
"80","BIOCHEMICAL SCIENCES","Biology & Life Science",75322,0.071597529,53000
"81","BOTANY","Biology & Life Science",14135,0.034023515,50000
"82","MOLECULAR BIOLOGY","Biology & Life Science",28197,0.060537075,45000
"83","ECOLOGY","Biology & Life Science",45368,0.048916986,47500
"84","GENETICS","Biology & Life Science",6362,0.041590955,48000
"85","MICROBIOLOGY","Biology & Life Science",68885,0.050880749,60000
"86","PHARMACOLOGY","Biology & Life Science",5015,0.016110797,60000
"87","PHYSIOLOGY","Biology & Life Science",43984,0.051139455,50000
"88","ZOOLOGY","Biology & Life Science",55395,0.0483626,55000
"89","NEUROSCIENCE","Biology & Life Science",13676,0.068897638,35000
"90","MISCELLANEOUS BIOLOGY","Biology & Life Science",29389,0.047582436,52000
"91","MATHEMATICS","Computers & Mathematics",432806,0.05293608,66000
"92","APPLIED MATHEMATICS","Computers & Mathematics",19112,0.055652608,70000
"93","STATISTICS AND DECISION SCIENCE","Computers & Mathematics",24806,0.057054046,70000
"94","MILITARY TECHNOLOGIES","Industrial Arts & Consumer Services",4315,0.101796407,64000
"95","MULTI/INTERDISCIPLINARY STUDIES","Interdisciplinary",45199,0.077268968,43000
"96","INTERCULTURAL AND INTERNATIONAL STUDIES","Humanities & Liberal Arts",56580,0.074330127,45000
"97","NUTRITION SCIENCES","Health",64534,0.06321655,49500
"98","MATHEMATICS AND COMPUTER SCIENCE","Computers & Mathematics",7184,0.024900398,92000
"99","COGNITIVE SCIENCE AND BIOPSYCHOLOGY","Biology & Life Science",6898,0.048872827,53000
"100","INTERDISCIPLINARY SOCIAL SCIENCES","Social Science",61871,0.065383453,45000
"101","PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Industrial Arts & Consumer Services",350409,0.046902999,44000
"102","PHILOSOPHY AND RELIGIOUS STUDIES","Humanities & Liberal Arts",205763,0.075020335,45000
"103","THEOLOGY AND RELIGIOUS VOCATIONS","Humanities & Liberal Arts",232865,0.042505112,40000
"104","PHYSICAL SCIENCES","Physical Sciences",8856,0.038952537,60000
"105","ASTRONOMY AND ASTROPHYSICS","Physical Sciences",4700,0.086021505,80000
"106","ATMOSPHERIC SCIENCES AND METEOROLOGY","Physical Sciences",14051,0.036726308,60000
"107","CHEMISTRY","Physical Sciences",308062,0.054728624,59000
"108","GEOLOGY AND EARTH SCIENCE","Physical Sciences",107902,0.065110535,65000
"109","GEOSCIENCES","Physical Sciences",8267,0.042792441,57000
"110","OCEANOGRAPHY","Physical Sciences",10741,0.053895091,55000
"111","PHYSICS","Physical Sciences",122620,0.052090055,70000
"112","MATERIALS SCIENCE","Engineering",7208,0.022333333,75000
"113","MULTI-DISCIPLINARY OR GENERAL SCIENCE","Physical Sciences",427953,0.045231124,56000
"114","NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",12166,0.069857949,62000
"115","PSYCHOLOGY","Psychology & Social Work",1484075,0.069666584,45000
"116","EDUCATIONAL PSYCHOLOGY","Psychology & Social Work",14041,0.07563114,40000
"117","CLINICAL PSYCHOLOGY","Psychology & Social Work",7638,0.102712161,45000
"118","COUNSELING PSYCHOLOGY","Psychology & Social Work",17633,0.06802139,39000
"119","INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",17969,0.08362907,62000
"120","SOCIAL PSYCHOLOGY","Psychology & Social Work",10871,0.087336245,47000
"121","MISCELLANEOUS PSYCHOLOGY","Psychology & Social Work",34102,0.082009364,45000
"122","CRIMINAL JUSTICE AND FIRE PROTECTION","Law & Public Policy",757141,0.054035589,50000
"123","PUBLIC ADMINISTRATION","Law & Public Policy",54636,0.069654918,56000
"124","PUBLIC POLICY","Law & Public Policy",14782,0.079216917,60000
"125","HUMAN SERVICES AND COMMUNITY ORGANIZATION","Psychology & Social Work",81786,0.072421294,38000
"126","SOCIAL WORK","Psychology & Social Work",319163,0.059375901,40000
"127","GENERAL SOCIAL SCIENCES","Social Science",127363,0.071056931,50000
"128","ECONOMICS","Social Science",757616,0.061312717,69000
"129","ANTHROPOLOGY AND ARCHEOLOGY","Humanities & Liberal Arts",143087,0.078175778,43000
"130","CRIMINOLOGY","Social Science",75085,0.06451917,49000
"131","GEOGRAPHY","Social Science",115423,0.06900849,54000
"132","INTERNATIONAL RELATIONS","Social Science",77371,0.07031327,55000
"133","POLITICAL SCIENCE AND GOVERNMENT","Social Science",748956,0.069373855,58000
"134","SOCIOLOGY","Social Science",674558,0.065804304,47000
"135","MISCELLANEOUS SOCIAL SCIENCES","Social Science",15882,0.054398771,52000
"136","CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",92346,0.051097081,65000
"137","ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Industrial Arts & Consumer Services",15726,0.052033988,48000
"138","TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",126639,0.047263682,67000
"139","FINE ARTS","Arts",571961,0.071753268,45000
"140","DRAMA AND THEATER ARTS","Arts",174817,0.08027373,42000
"141","MUSIC","Arts",276262,0.054719193,45000
"142","VISUAL AND PERFORMING ARTS","Arts",55141,0.094658002,40000
"143","COMMERCIAL ART AND GRAPHIC DESIGN","Arts",504657,0.073919719,46600
"144","FILM VIDEO AND PHOTOGRAPHIC ARTS","Arts",133508,0.085618911,47000
"145","ART HISTORY AND CRITICISM","Humanities & Liberal Arts",90852,0.063912645,44500
"146","STUDIO ARTS","Arts",81008,0.083713827,37600
"147","MISCELLANEOUS FINE ARTS","Arts",8511,0.156147487,45000
"148","GENERAL MEDICAL AND HEALTH SERVICES","Health",104516,0.054700627,50000
"149","COMMUNICATION DISORDERS SCIENCES AND SERVICES","Health",74977,0.046467181,42000
"150","HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","Health",108510,0.057003977,50000
"151","MEDICAL ASSISTING SERVICES","Health",64316,0.031356845,55000
"152","MEDICAL TECHNOLOGIES TECHNICIANS","Health",164990,0.036209865,60000
"153","HEALTH AND MEDICAL PREPARATORY PROGRAMS","Health",32514,0.070009785,50000
"154","NURSING","Health",1769892,0.026796818,62000
"155","PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","Health",180084,0.034357681,106000
"156","TREATMENT THERAPY PROFESSIONS","Health",252138,0.026291603,61000
"157","COMMUNITY AND PUBLIC HEALTH","Health",56741,0.066527702,47000
"158","MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","Health",77647,0.053572714,45000
"159","GENERAL BUSINESS","Business",2148712,0.051377532,60000
"160","ACCOUNTING","Business",1779219,0.053414673,65000
"161","ACTUARIAL SCIENCE","Business",9763,0.056063523,72000
"162","BUSINESS MANAGEMENT AND ADMINISTRATION","Business",3123510,0.058865337,58000
"163","OPERATIONS LOGISTICS AND E-COMMERCE","Business",57200,0.043268259,65000
"164","BUSINESS ECONOMICS","Business",75547,0.061748572,65000
"165","MARKETING AND MARKETING RESEARCH","Business",1114624,0.055032889,56000
"166","FINANCE","Business",816548,0.048472931,65000
"167","HUMAN RESOURCES AND PERSONNEL MANAGEMENT","Business",187274,0.060748094,54000
"168","INTERNATIONAL BUSINESS","Business",86064,0.071353708,54000
"169","HOSPITALITY MANAGEMENT","Business",200854,0.051446983,49000
"170","MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",156673,0.043977137,72000
"171","MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","Business",102753,0.052678561,53000
"172","HISTORY","Humanities & Liberal Arts",712509,0.065851006,50000
"173","UNITED STATES HISTORY","Humanities & Liberal Arts",17746,0.07349961,50000
